,car_model,year_of_manufacture,price,fuel,height
0,ritz,2014,5000.0,Petrol,5000.0
1,sx4,2013,7089.55223880597,Diesel,7090.0
2,ciaz,2017,10820.89552238806,Petrol,10821.0
3,wagon r,2011,4253.731343283582,Petrol,4254.0
4,swift,2014,6865.671641791044,Diesel,6866.0
5,vitara brezza,2018,13805.970149253732,Diesel,13806.0
6,ciaz,2015,10074.626865671642,Petrol,10075.0
7,s cross,2015,9701.492537313432,Diesel,9701.0
8,ciaz,2016,13059.701492537311,Diesel,13060.0
9,ciaz,2015,11119.402985074626,Diesel,11119.0
10,alto 800,2017,4253.731343283582,Petrol,4254.0
11,ciaz,2015,10223.880597014926,Diesel,10224.0
12,ciaz,2015,11194.029850746268,Petrol,11194.0
13,ertiga,2015,9104.477611940298,Petrol,9104.0
14,dzire,2009,3358.208955223881,Petrol,3358.0
15,ertiga,2016,11567.164179104477,Diesel,11567.0
16,ertiga,2015,10820.89552238806,Diesel,10821.0
17,ertiga,2016,11567.164179104477,Diesel,11567.0
18,wagon r,2015,4850.746268656716,CNG,4851.0
19,sx4,2010,3955.223880597015,Petrol,3955.0
20,alto k10,2016,4253.731343283582,Petrol,4254.0
21,ignis,2017,7313.432835820897,Petrol,7313.0
22,sx4,2011,6567.164179104479,Petrol,6567.0
23,alto k10,2014,3731.3432835820895,Petrol,3731.0
24,wagon r,2013,4328.358208955224,Petrol,4328.0
25,swift,2011,4477.611940298508,Petrol,4478.0
26,swift,2013,6194.029850746269,Petrol,6194.0
27,swift,2017,8955.223880597016,Petrol,8955.0
28,alto k10,2010,2910.4477611940297,Petrol,2910.0
29,ciaz,2015,11119.402985074626,Diesel,11119.0
30,ritz,2012,4626.8656716418,Diesel,4627.0
31,ritz,2011,3507.4626865672,Petrol,3507.0
32,swift,2014,7388.0597014925,Diesel,7388.0
33,ertiga,2014,8955.223880597,Diesel,8955.0
34,dzire,2014,8208.9552238806,Diesel,8209.0
35,sx4,2011,4402.9850746269,CNG,4403.0
36,dzire,2015,6940.2985074627,Petrol,6940.0
37,800,2003,522.3880597015,Petrol,522.0
38,alto k10,2016,4477.6119402985,Petrol,4478.0
39,sx4,2003,3358.2089552239,Petrol,3358.0
40,baleno,2016,8731.3432835821,Petrol,8731.0
41,alto k10,2014,3805.9701492537,Petrol,3806.0
42,sx4,2008,2910.447761194,Petrol,2910.0
43,dzire,2014,8208.9552238806,Diesel,8209.0
44,omni,2012,1865.671641791,Petrol,1866.0
45,ciaz,2014,11194.0298507463,Petrol,11194.0
46,ritz,2013,3955.223880597,Petrol,3955.0
47,wagon r,2006,1567.1641791045,Petrol,1567.0
48,ertiga,2015,8656.7164179104,Petrol,8657.0
49,ciaz,2017,11567.1641791045,Petrol,11567.0
50,fortuner,2012,22238.8059701493,Diesel,22239.0
51,fortuner,2015,34328.3582089552,Diesel,34328.0
52,innova,2017,26865.671641791,Diesel,26866.0
53,fortuner,2013,23880.5970149254,Diesel,23881.0
54,innova,2005,4104.4776119403,Petrol,4104.0
55,corolla altis,2009,5373.1343283582,Petrol,5373.0
56,etios cross,2015,6716.4179104478,Petrol,6716.0
57,corolla altis,2010,7089.552238806,Petrol,7090.0
58,etios g,2014,6119.4029850746,Petrol,6119.0
59,fortuner,2014,29835.8208955224,Diesel,29836.0
60,corolla altis,2013,10373.134328358208,Petrol,10373.0
61,etios cross,2015,6716.417910447762,Petrol,6716.0
62,fortuner,2014,27985.074626865673,Diesel,27985.0
63,fortuner,2015,35074.62686567164,Diesel,35075.0
64,fortuner,2017,49253.73134328358,Diesel,49254.0
65,etios liva,2014,7089.55223880597,Diesel,7090.0
66,innova,2017,29477.611940298506,Petrol,29478.0
67,fortuner,2010,13805.970149253732,Diesel,13806.0
68,corolla altis,2011,6492.537313432835,Petrol,6493.0
69,corolla altis,2016,21268.65671641791,Petrol,21269.0
70,etios liva,2014,5895.522388059701,Diesel,5896.0
71,corolla altis,2011,6716.417910447762,Diesel,6716.0
72,corolla altis,2013,11119.402985074626,Petrol,11119.0
73,etios liva,2011,3955.223880597015,Petrol,3955.0
74,etios cross,2014,7313.432835820897,Diesel,7313.0
75,etios g,2015,5895.522388059701,Petrol,5896.0
76,corolla altis,2013,8208.955223880597,Petrol,8209.0
77,corolla,2004,2238.805970149254,Petrol,2239.0
78,corolla altis,2010,7835.820895522388,Petrol,7836.0
79,fortuner,2012,21641.79104477612,Diesel,21642.0
80,corolla altis,2016,21985.074626865673,Diesel,21985.0
81,etios gd,2015,7089.55223880597,Diesel,7090.0
82,innova,2017,34328.35820895522,Diesel,34328.0
83,innova,2015,18656.716417910447,Diesel,18657.0
84,innova,2005,5208.955223880597,Diesel,5209.0
85,camry,2006,3731.3432835820895,Petrol,3731.0
86,land cruiser,2010,52238.80597014925,Diesel,52239.0
87,corolla altis,2012,8805.970149253732,Petrol,8806.0
88,etios liva,2013,5149.253731343284,Petrol,5149.0
89,etios g,2014,7089.55223880597,Petrol,7090.0
